Query,Type,Time
c1,GS,2.0
c1,GS,2.0
c1,GS,3.0
c1,GS,3.0
c1,GS,3.0
c1,GS,2.0
c1,GS,2.0
c1,GS,2.0
c1,GS,2.0
c1,Jena,2.0
c1,Jena,2.0
c1,Jena,1.0
c1,Jena,2.0
c1,Jena,2.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,4.0
c1,Jena,2.0
c1,Jena,2.0
c1,GraphDB,1.0
c1,GraphDB,0.0
c1,GraphDB,1.0
c1,GraphDB,0.0
c1,GraphDB,2.0
c1,GraphDB,1.0
c1,GraphDB,1.0
c1,GraphDB,0.0
c1,GraphDB,0.0
c1,GraphDB,0.0
c2,SS,1.0
c2,SS,2.0
c2,SS,2.0
c2,SS,1.0
c2,SS,1.0
c2,SS,2.0
c2,SS,2.0
c2,SS,2.0
c2,SS,2.0
c2,SS,2.0
c2,GS,1.0
c2,GS,1.0
c2,GS,2.0
c2,GS,2.0
c2,GS,2.0
c2,GS,2.0
c2,GS,1.0
c2,GS,1.0
c2,GS,1.0
c2,GS,1.0
c2,Jena,3.0
c2,Jena,3.0
c2,Jena,3.0
c2,Jena,3.0
c2,Jena,3.0
c2,Jena,2.0
c2,Jena,2.0
c2,Jena,2.0
c2,Jena,2.0
c2,Jena,2.0
c2,GraphDB,0.0
c2,GraphDB,0.0
c2,GraphDB,0.0
c2,GraphDB,1.0
c2,GraphDB,0.0
c2,GraphDB,1.0
c2,GraphDB,0.0
c2,GraphDB,0.0
c2,GraphDB,0.0
c2,GraphDB,0.0
c3,SS,6.0
c3,SS,6.0
c3,SS,7.0
c3,SS,6.0
c3,SS,6.0
c3,SS,6.0
c3,SS,8.0
c3,SS,6.0
c3,SS,6.0
c3,SS,6.0
c3,GS,4.0
c3,GS,5.0
c3,GS,5.0
c3,GS,4.0
c3,GS,5.0
c3,GS,6.0
c3,GS,5.0
c3,GS,5.0
c3,GS,5.0
c3,GS,5.0
c3,Jena,2.0
c3,Jena,2.0
c3,Jena,2.0
c3,Jena,2.0
c3,Jena,2.0
c3,Jena,2.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,2.0
c3,Jena,2.0
c3,GraphDB,1.0
c3,GraphDB,0.0
c3,GraphDB,0.0
c3,GraphDB,0.0
c3,GraphDB,1.0
c3,GraphDB,1.0
c3,GraphDB,0.0
c3,GraphDB,0.0
c3,GraphDB,0.0
c3,GraphDB,1.0
c4,SS,7.0
c4,SS,6.0
c4,SS,7.0
c4,SS,8.0
c4,SS,7.0
c4,SS,7.0
c4,SS,10.0
c4,SS,8.0
c4,SS,7.0
c4,SS,8.0
c4,GS,6.0
c4,GS,6.0
c4,GS,5.0
c4,GS,7.0
c4,GS,5.0
c4,GS,6.0
c4,GS,5.0
c4,GS,6.0
c4,GS,5.0
c4,GS,6.0
c4,Jena,2.0
c4,Jena,2.0
c4,Jena,3.0
c4,Jena,2.0
c4,Jena,3.0
c4,Jena,2.0
c4,Jena,2.0
c4,Jena,2.0
c4,Jena,2.0
c4,Jena,2.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,1.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c4,GraphDB,0.0
c5,SS,5.0
c5,SS,7.0
c5,SS,8.0
c5,SS,6.0
c5,SS,6.0
c5,SS,5.0
c5,SS,5.0
c5,SS,5.0
c5,SS,5.0
c5,SS,6.0
c5,GS,4.0
c5,GS,4.0
c5,GS,4.0
c5,GS,3.0
c5,GS,4.0
c5,GS,3.0
c5,GS,4.0
c5,GS,5.0
c5,GS,4.0
c5,GS,3.0
c5,Jena,2.0
c5,Jena,3.0
c5,Jena,3.0
c5,Jena,3.0
c5,Jena,2.0
c5,Jena,2.0
c5,Jena,1.0
c5,Jena,1.0
c5,Jena,1.0
c5,Jena,2.0
c5,GraphDB,1.0
c5,GraphDB,1.0
c5,GraphDB,0.0
c5,GraphDB,0.0
c5,GraphDB,0.0
c5,GraphDB,1.0
c5,GraphDB,1.0
c5,GraphDB,1.0
c5,GraphDB,0.0
c5,GraphDB,1.0
f1,SS,6.0
f1,SS,7.0
f1,SS,5.0
f1,SS,5.0
f1,SS,5.0
f1,SS,5.0
f1,SS,5.0
f1,SS,4.0
f1,SS,4.0
f1,SS,5.0
f1,GS,4.0
f1,GS,4.0
f1,GS,3.0
f1,GS,4.0
f1,GS,3.0
f1,GS,3.0
f1,GS,4.0
f1,GS,3.0
f1,GS,3.0
f1,GS,3.0
f1,Jena,2.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,2.0
f1,Jena,2.0
f1,Jena,2.0
f1,Jena,1.0
f1,GraphDB,1.0
f1,GraphDB,0.0
f1,GraphDB,0.0
f1,GraphDB,1.0
f1,GraphDB,1.0
f1,GraphDB,1.0
f1,GraphDB,0.0
f1,GraphDB,0.0
f1,GraphDB,0.0
f1,GraphDB,1.0
f2,SS,10.0
f2,SS,10.0
f2,SS,10.0
f2,SS,10.0
f2,SS,9.0
f2,SS,9.0
f2,SS,11.0
f2,SS,10.0
f2,SS,10.0
f2,SS,10.0
f2,GS,10.0
f2,GS,9.0
f2,GS,8.0
f2,GS,12.0
f2,GS,8.0
f2,GS,8.0
f2,GS,7.0
f2,GS,8.0
f2,GS,7.0
f2,GS,8.0
f2,Jena,2.0
f2,Jena,2.0
f2,Jena,2.0
f2,Jena,1.0
f2,Jena,2.0
f2,Jena,2.0
f2,Jena,2.0
f2,Jena,2.0
f2,Jena,1.0
f2,Jena,2.0
f2,GraphDB,0.0
f2,GraphDB,1.0
f2,GraphDB,0.0
f2,GraphDB,0.0
f2,GraphDB,1.0
f2,GraphDB,1.0
f2,GraphDB,1.0
f2,GraphDB,0.0
f2,GraphDB,0.0
f2,GraphDB,0.0
f3,SS,5.0
f3,SS,4.0
f3,SS,5.0
f3,SS,4.0
f3,SS,4.0
f3,SS,6.0
f3,SS,5.0
f3,SS,4.0
f3,SS,4.0
f3,SS,7.0
f3,GS,4.0
f3,GS,3.0
f3,GS,2.0
f3,GS,3.0
f3,GS,2.0
f3,GS,3.0
f3,GS,3.0
f3,GS,2.0
f3,GS,3.0
f3,GS,2.0
f3,Jena,2.0
f3,Jena,1.0
f3,Jena,1.0
f3,Jena,1.0
f3,Jena,2.0
f3,Jena,1.0
f3,Jena,1.0
f3,Jena,1.0
f3,Jena,2.0
f3,Jena,2.0
f3,GraphDB,1.0
f3,GraphDB,1.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f3,GraphDB,0.0
f5,SS,5.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,SS,4.0
f5,GS,3.0
f5,GS,3.0
f5,GS,3.0
f5,GS,2.0
f5,GS,3.0
f5,GS,2.0
f5,GS,3.0
f5,GS,3.0
f5,GS,2.0
f5,GS,3.0
f5,Jena,2.0
f5,Jena,1.0
f5,Jena,1.0
f5,Jena,2.0
f5,Jena,1.0
f5,Jena,1.0
f5,Jena,1.0
f5,Jena,1.0
f5,Jena,2.0
f5,Jena,1.0
f5,GraphDB,0.0
f5,GraphDB,0.0
f5,GraphDB,1.0
f5,GraphDB,0.0
f5,GraphDB,0.0
f5,GraphDB,1.0
f5,GraphDB,0.0
f5,GraphDB,0.0
f5,GraphDB,1.0
f5,GraphDB,0.0
f6,SS,7.0
f6,SS,5.0
f6,SS,5.0
f6,SS,5.0
f6,SS,6.0
f6,SS,7.0
f6,SS,5.0
f6,SS,5.0
f6,SS,6.0
f6,SS,5.0
f6,GS,5.0
f6,GS,5.0
f6,GS,4.0
f6,GS,4.0
f6,GS,4.0
f6,GS,4.0
f6,GS,4.0
f6,GS,4.0
f6,GS,5.0
f6,GS,4.0
f6,Jena,4.0
f6,Jena,2.0
f6,Jena,2.0
f6,Jena,2.0
f6,Jena,1.0
f6,Jena,1.0
f6,Jena,2.0
f6,Jena,2.0
f6,Jena,2.0
f6,Jena,2.0
f6,GraphDB,1.0
f6,GraphDB,0.0
f6,GraphDB,1.0
f6,GraphDB,0.0
f6,GraphDB,0.0
f6,GraphDB,0.0
f6,GraphDB,1.0
f6,GraphDB,1.0
f6,GraphDB,0.0
f6,GraphDB,0.0
f7,SS,5.0
f7,SS,7.0
f7,SS,3.0
f7,SS,5.0
f7,SS,5.0
f7,SS,4.0
f7,SS,5.0
f7,SS,5.0
f7,SS,4.0
f7,SS,5.0
f7,GS,2.0
f7,GS,3.0
f7,GS,3.0
f7,GS,3.0
f7,GS,3.0
f7,GS,3.0
f7,GS,2.0
f7,GS,4.0
f7,GS,2.0
f7,GS,3.0
f7,Jena,1.0
f7,Jena,2.0
f7,Jena,2.0
f7,Jena,1.0
f7,Jena,2.0
f7,Jena,1.0
f7,Jena,2.0
f7,Jena,35.0
f7,Jena,1.0
f7,Jena,2.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f7,GraphDB,1.0
f7,GraphDB,1.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f7,GraphDB,0.0
f8,SS,5.0
f8,SS,5.0
f8,SS,4.0
f8,SS,4.0
f8,SS,4.0
